2020-04-06 15:52:36.600 [main] INFO  com.autotest.springboot.Application - Starting Application on DESKTOP-CU28HKJ with PID 5968 (C:\Users\pc\.ssh\Lewis\IAutoTest\Module1\target\classes started by pc in C:\Users\pc\.ssh\Lewis\IAutoTest\Module1)
2020-04-06 15:52:36.608 [main] INFO  com.autotest.springboot.Application - No active profile set, falling back to default profiles: default
2020-04-06 15:52:39.568 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.autotest.springboot]' package. Please check your configuration.
2020-04-06 15:52:40.124 [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-06 15:52:41.230 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-06 15:52:41.256 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-06 15:52:41.256 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-04-06 15:52:41.466 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-06 15:52:41.467 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4664 ms
2020-04-06 15:52:43.073 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-04-06 15:52:43.300 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-06 15:52:43.724 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-04-06 15:52:43.799 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-04-06 15:52:43.872 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-04-06 15:52:44.425 [main] INFO  s.documentation.spring.web.readers.operation.CachingOperationNameGenerator - Generating unique operation named: loginUsingPOST_1
2020-04-06 15:52:44.589 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-04-06 15:52:44.596 [main] INFO  com.autotest.springboot.Application - Started Application in 9.49 seconds (JVM running for 11.288)
2020-04-06 15:52:57.302 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-06 15:52:57.302 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-06 15:52:57.318 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2020-04-06 15:56:20.721 [http-nio-8080-exec-7] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/x-www-form-urlencoded;charset=UTF-8' not supported]
2020-04-06 15:57:29.553 [http-nio-8080-exec-8] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'text/plain;charset=UTF-8' not supported]
2020-04-06 15:58:48.794 [http-nio-8080-exec-4] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'applicaion/json;charset=UTF-8' not supported]
2020-04-06 15:59:51.564 [http-nio-8080-exec-5] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:01:20.761 [http-nio-8080-exec-3] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
2020-04-06 16:01:24.589 [http-nio-8080-exec-10] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
2020-04-06 16:01:53.711 [http-nio-8080-exec-4] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:02:10.172 [http-nio-8080-exec-5] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:02:12.567 [http-nio-8080-exec-1] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:02:13.221 [http-nio-8080-exec-3] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:02:13.508 [http-nio-8080-exec-9] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:02:13.981 [http-nio-8080-exec-7] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:02:14.267 [http-nio-8080-exec-6] INFO  com.autotest.controller.UserManager - cookies为空
2020-04-06 16:03:49.978 [http-nio-8080-exec-8] INFO  com.autotest.controller.UserManager - cookies 验证通过
2020-04-06 16:03:50.060 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-06 16:04:04.193 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-06 16:04:06.683 [http-nio-8080-exec-8] INFO  com.autotest.controller.UserManager - getUserInfo 获取到的用户数量是1
2020-04-06 16:05:14.333 [http-nio-8080-exec-2] INFO  com.autotest.controller.UserManager - cookies 验证通过
2020-04-06 16:05:14.533 [http-nio-8080-exec-5] INFO  com.autotest.controller.UserManager - cookies 验证通过
2020-04-06 16:05:14.732 [http-nio-8080-exec-1] INFO  com.autotest.controller.UserManager - cookies 验证通过
2020-04-06 16:05:14.927 [http-nio-8080-exec-3] INFO  com.autotest.controller.UserManager - cookies 验证通过
2020-04-06 16:05:15.128 [http-nio-8080-exec-9] INFO  com.autotest.controller.UserManager - cookies 验证通过
2020-04-06 16:05:17.464 [http-nio-8080-exec-1] INFO  com.autotest.controller.UserManager - getUserInfo 获取到的用户数量是1
2020-04-06 16:05:17.465 [http-nio-8080-exec-3] INFO  com.autotest.controller.UserManager - getUserInfo 获取到的用户数量是1
2020-04-06 16:05:17.466 [http-nio-8080-exec-2] INFO  com.autotest.controller.UserManager - getUserInfo 获取到的用户数量是1
2020-04-06 16:05:17.473 [http-nio-8080-exec-9] INFO  com.autotest.controller.UserManager - getUserInfo 获取到的用户数量是1
